class,precision,recall,f1,support
Abuse,0.0,0.0,0.0,2.0
Assault,0.024390243902439025,0.3333333333333333,0.045454545454545456,3.0
Fighting,0.25,0.2,0.2222222222222222,5.0
Normal_Videos,0.0,0.0,0.0,150.0
Robbery,0.03296703296703297,0.6,0.0625,5.0
Shooting,0.14285714285714285,0.21739130434782608,0.1724137931034483,23.0
