class,precision,recall,f1,support
Abuse,0.0,0.0,0.0,2.0
Assault,0.0,0.0,0.0,3.0
Fighting,0.03333333333333333,0.2,0.05714285714285714,5.0
Normal_Videos,0.0,0.0,0.0,150.0
Robbery,0.024390243902439025,0.4,0.04597701149425287,5.0
Shooting,0.1206896551724138,0.30434782608695654,0.1728395061728395,23.0
