epoch,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_weighted_f1,lr
1,0.4724609275996685,0.844,6.945372734069824,0.0,0.0,0.0,0.0,0.0001
2,0.08533376587033271,0.9754,7.374311260223388,0.0,0.0,0.0,0.0,0.0001
3,0.0868837929546833,0.9726,8.19657075881958,0.0,0.0,0.0,0.0,0.0001
4,0.05455257053896785,0.982,8.424007400512695,0.0,0.0,0.0,0.0,5e-05
5,0.01827005152031779,0.9948,8.363266616821289,0.0,0.0,0.0,0.0,5e-05
6,0.011450172287225724,0.9966,9.065056129455566,0.0,0.0,0.0,0.0,5e-05
