epoch,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_weighted_f1,lr
1,0.7704944608330727,0.7054,10.845539337158202,0.0,0.0,0.0,0.0,0.0001
2,0.21552839660644532,0.929,7.813131423950195,0.0,0.0,0.0,0.0,0.0001
3,0.1087644990414381,0.9652,10.006526336669921,0.0,0.0,0.0,0.0,0.0001
4,0.0794296028573066,0.9742,9.780278533935547,0.0,0.0,0.0,0.0,5e-05
5,0.027935083314438815,0.9936,11.988499900817871,0.0,0.0,0.0,0.0,5e-05
6,0.021153371604904533,0.9946,11.968181488037109,0.0,0.0,0.0,0.0,5e-05
